,pid,px,py,pz,mx,my,mz,ex,ey,ez,delta p m,,,delta m e
41,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4,-800,0,-384,-834,-61,434,-839,25,-343,820.9756391,,,781.760833
42,b98f6b89-3de4-4295-be1c-59e465de1e32,-3447,-750,-931,-3461.9,-755.9,818.7,-3639,-475,-1118,1749.773388,,,1964.962114
43,cde137a5-7a93-4968-ab61-5aedbd9ce3fb,920,-4750,-788,920,-4750,-788,661,-4850,-868,0,,,288.9307876
44,a6fe3779-2b77-4b66-a625-a6078720e412,-2243,-2500,-122,-2243,-2500,-122,-2339,-2450,-118,0,,,108.3143573
45,62a97aee-9f8b-40be-9ea7-f785ede30df8,-1294,3000,-1316,-1063.7,3090.4,-156.8,-1364,3025,-1568,1185.30793,,,1444.279298
46,779fbed1-4b0e-4d7d-8882-6650690221a0,-1313,-750,-170,-1313,-750,-170,-1714,-575,-218,0,,,440.1477025
47,ce9717aa-04eb-40b8-b695-58644d25ddbb,-1313,-750,-170,-1493,-4378,-929,-1464,-4225,-243,3710.911613,,,703.4529124
48,fe41986d-4966-4a77-af7e-e7f71c25aec5,-800,-3750,-51,-800,-3749.9,-377.6,-839,-3700,-43,326.6000153,,,340.5409961
49,a3ebc7f4-813a-4f06-a33e-9825c878f9c2,1000,-3750,-51,1000,-3750,-51,961,-3875,-93,0,,,137.5136357
50,cab81176-36cd-4c37-9353-841e85027d36,-2717,-4500,-551,-2717,-4500,-551,-3139,-4550,-968,0,,,595.3763516
51,39b433d0-ec60-460f-8002-a393d81620a4,-804,-5250,-836,-1047,-5241,-727,-1664,-5325,-1068,266.4788922,,,709.9478854
52,e52942b9-62b8-4cbf-9597-d73aea5cdb3e,787,-6250,-646,818.2,-6424.7,-945.7,1086,-6400,-843,348.3010479,,,287.8788287
53,e17db2b6-b778-4e2a-845c-c4d040b0c875,-679,-4500,-694,-679,-4500,-1176,-964,-4850,-868,482,,,546.4329785
54,450cea3b-9289-4708-9df2-a2518bdc4b59,-1281,1500,-836,-1281.1,1500.1,-690.7,-1539,1075,-793,145.3000688,,,507.6295007
